Table S4. List of predicted carcinogenic pollutants from the petrochemical industry.,,,,,,,,
Compound_CID,Name,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,Molecular_Weight,Probability
8146,Diethylene Glycol Monoethyl Ether,C6H14O3,"InChI=1S/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3",CCOCCOCCO,XXJWXESWEXIICW-UHFFFAOYSA-N,2-(2-ethoxyethoxy)ethanol,134.17,0.5222
8285,Pentaerythritol,C5H12O4,"InChI=1S/C5H12O4/c6-1-5(2-7,3-8)4-9/h6-9H,1-4H2",C(C(CO)(CO)CO)O,WXZMFSXDPGVJKK-UHFFFAOYSA-N,"2,2-bis(hydroxymethyl)propane-1,3-diol",136.15,0.5421
8289,Triphenyl Phosphate,C18H15O4P,"InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H",C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,XZZNDPSIHUTMOC-UHFFFAOYSA-N,triphenyl phosphate,326.3,0.6391
8854,"3-Hydroxy-N,N-dimethylcrotonamide dimethyl phosphate",C8H16NO5P,"InChI=1S/C8H16NO5P/c1-7(6-8(10)9(2)3)14-15(11,12-4)13-5/h6H,1-5H3",CC(=CC(=O)N(C)C)OP(=O)(OC)OC,VEENJGZXVHKXNB-UHFFFAOYSA-N,[4-(dimethylamino)-4-oxobut-2-en-2-yl] dimethyl phosphate,237.19,0.5516
9253,Cyclopentane,C5H10,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,C1CCCC1,RGSFGYAAUTVSQA-UHFFFAOYSA-N,cyclopentane,70.13,0.848
9625,Bromochlorodifluoromethane,CBrClF2,"InChI=1S/CBrClF2/c2-1(3,4)5",C(F)(F)(Cl)Br,MEXUFEQDCXZEON-UHFFFAOYSA-N,bromo-chloro-difluoromethane,165.36,0.7013
10419,Dimethylacetylene,C4H6,InChI=1S/C4H6/c1-3-4-2/h1-2H3,CC#CC,XNMQEEKYCVKGBD-UHFFFAOYSA-N,but-2-yne,54.09,0.8705
10553,2-Methyl-2-butene,C5H10,"InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3",CC=C(C)C,BKOOMYPCSUNDGP-UHFFFAOYSA-N,2-methylbut-2-ene,70.13,0.8847
10696,"3,4,5-Trimethylphenol",C9H12O,"InChI=1S/C9H12O/c1-6-4-9(10)5-7(2)8(6)3/h4-5,10H,1-3H3",CC1=CC(=CC(=C1C)C)O,FDQQNNZKEJIHMS-UHFFFAOYSA-N,"3,4,5-trimethylphenol",136.19,0.7202
10782,Piperocaine,C16H23NO2,"InChI=1S/C16H23NO2/c1-14-8-5-6-11-17(14)12-7-13-19-16(18)15-9-3-2-4-10-15/h2-4,9-10,14H,5-8,11-13H2,1H3",CC1CCCCN1CCCOC(=O)C2=CC=CC=C2,YQKAVWCGQQXBGW-UHFFFAOYSA-N,3-(2-methylpiperidin-1-yl)propyl benzoate,261.36,0.5269
10792,"1,2-Dibromobutane",C4H8Br2,"InChI=1S/C4H8Br2/c1-2-4(6)3-5/h4H,2-3H2,1H3",CCC(CBr)Br,CZWSZZHGSNZRMW-UHFFFAOYSA-N,"1,2-dibromobutane",215.91,0.8615
10987,Strontium acetate,C4H6O4Sr,"InChI=1S/2C2H4O2.Sr/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2",CC(=O)[O-].CC(=O)[O-].[Sr+2],RXSHXLOMRZJCLB-UHFFFAOYSA-L,strontium diacetate,205.71,0.535
11094,"1-Naphthalenamine, hydrochloride (1:1)",C10H10ClN,"InChI=1S/C10H9N.ClH/c11-10-7-3-5-8-4-1-2-6-9(8)10;/h1-7H,11H2;1H",C1=CC=C2C(=C1)C=CC=C2N.Cl,FOKKJVHTXPJHEN-UHFFFAOYSA-N,naphthalen-1-amine;hydrochloride,179.64,0.8523
11275,2-Hydroxymethyl-5-alpha-androst-2-en-17-beta-ol,C20H32O2,"InChI=1S/C20H32O2/c1-19-10-9-17-15(16(19)7-8-18(19)22)6-5-14-4-3-13(12-21)11-20(14,17)2/h3,14-18,21-22H,4-12H2,1-2H3/t14-,15+,16+,17+,18+,19+,20+/m1/s1",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@@H]4[C@@]3(CC(=CC4)CO)C,BWYWJEOODYEXFU-WDCLZLQXSA-N,"(5S,8R,9S,10S,13S,14S,17S)-2-(hydroxymethyl)-10,13-dimethyl-4,5,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-ol",304.5,0.63
11426,Diethyl cystinate,C10H20N2O4S2,"InChI=1S/C10H20N2O4S2/c1-3-15-9(13)7(11)5-17-18-6-8(12)10(14)16-4-2/h7-8H,3-6,11-12H2,1-2H3",CCOC(=O)C(CSSCC(C(=O)OCC)N)N,CIKFAVCRANPUES-UHFFFAOYSA-N,ethyl 2-amino-3-[(2-amino-3-ethoxy-3-oxopropyl)disulfanyl]propanoate,296.4,0.6054
11570,3'-Ethoxyacetanilide,C10H13NO2,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-5-9(7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)",CCOC1=CC=CC(=C1)NC(=O)C,YVTBOWVWYXJHLD-UHFFFAOYSA-N,N-(3-ethoxyphenyl)acetamide,179.22,0.8226
