#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0045930	Negative regulation of mitotic cell cycle	8	214	1.4	1.98	4.75e-08	9606.ENSP00000227507,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000418960,9606.ENSP00000495360	CCND1,TP53,ATM,PTEN,BCL2,TNF,BRCA1,CTNNB1
GO:0060322	Head development	12	823	1.0	1.28	4.87e-08	9606.ENSP00000263253,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000381185,9606.ENSP00000489597,9606.ENSP00000495360	EP300,FGF2,EGF,TP53,EGFR,ATM,PTEN,SRC,BRCA2,BCL2,PTPN11,CTNNB1
GO:0030879	Mammary gland development	7	128	1.57	2.23	4.91e-08	9606.ENSP00000227507,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000405330,9606.ENSP00000451828	CCND1,FGF2,EGF,SRC,JAK2,ESR1,AKT1
GO:0045934	Negative regulation of nucleobase-containing compound metabolic process	15	1562	0.81	0.99	5.10e-08	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000478887,9606.ENSP00000495360	CCND1,EP300,STAT3,TP53,ATM,RUNX1,JUN,SRC,BRCA2,IL6,TNF,ESR1,BRCA1,MYC,CTNNB1
GO:0051251	Positive regulation of lymphocyte activation	9	336	1.26	1.73	5.98e-08	9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000300305,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000451828,9606.ENSP00000489597	IL1B,PIK3CA,RUNX1,SRC,JAK2,BCL2,IL6,AKT1,PTPN11
GO:0001819	Positive regulation of cytokine production	10	482	1.15	1.54	6.53e-08	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000300305,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000418960,9606.ENSP00000428056,9606.ENSP00000489597	IL1B,STAT3,RUNX1,SRC,JAK2,IL6,TNF,BRCA1,PIK3R1,PTPN11
GO:0034599	Cellular response to oxidative stress	8	224	1.38	1.93	6.57e-08	9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000451828	TP53,EGFR,JUN,SRC,JAK2,BCL2,IL6,AKT1
GO:0048754	Branching morphogenesis of an epithelial tube	7	134	1.55	2.17	6.57e-08	9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000362680,9606.ENSP00000381185,9606.ENSP00000405330,9606.ENSP00000478887,9606.ENSP00000495360	FGF2,EGF,SRC,BCL2,ESR1,MYC,CTNNB1
GO:0042770	Signal transduction in response to DNA damage	7	135	1.55	2.16	6.85e-08	9606.ENSP00000227507,9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000369497,9606.ENSP00000376345,9606.ENSP00000418960,9606.ENSP00000489597	CCND1,TP53,ATM,BRCA2,GRB2,BRCA1,PTPN11
GO:0045787	Positive regulation of cell cycle	9	349	1.24	1.68	8.09e-08	9606.ENSP00000227507,9606.ENSP00000263341,9606.ENSP00000265171,9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000489597	CCND1,IL1B,EGF,EGFR,SRC,BRCA2,TNF,AKT1,PTPN11
GO:2000573	Positive regulation of DNA biosynthetic process	6	73	1.75	2.38	8.62e-08	9606.ENSP00000264498,9606.ENSP00000278616,9606.ENSP00000362680,9606.ENSP00000398698,9606.ENSP00000478887,9606.ENSP00000495360	FGF2,ATM,SRC,TNF,MYC,CTNNB1
GO:0040008	Regulation of growth	11	671	1.05	1.35	8.70e-08	9606.ENSP00000263967,9606.ENSP00000264498,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000300305,9606.ENSP00000346839,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000451828	PIK3CA,FGF2,STAT3,TP53,ERBB2,EGFR,RUNX1,FN1,PTEN,BCL2,AKT1
GO:0002684	Positive regulation of immune system process	12	874	0.97	1.22	9.10e-08	9606.ENSP00000263253,9606.ENSP00000263341,9606.ENSP00000263967,9606.ENSP00000300305,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000489597	EP300,IL1B,PIK3CA,RUNX1,SRC,JAK2,BCL2,IL6,TNF,PIK3R1,AKT1,PTPN11
GO:0033135	Regulation of peptidyl-serine phosphorylation	7	143	1.52	2.1	9.80e-08	9606.ENSP00000263967,9606.ENSP00000275493,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828	PIK3CA,EGFR,PTEN,BCL2,IL6,TNF,AKT1
GO:0060284	Regulation of cell development	10	506	1.13	1.48	9.93e-08	9606.ENSP00000263341,9606.ENSP00000264498,9606.ENSP00000269305,9606.ENSP00000346839,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000495360	IL1B,FGF2,TP53,FN1,PTEN,BCL2,IL6,TNF,AKT1,CTNNB1
GO:0043065	Positive regulation of apoptotic process	10	507	1.13	1.48	1.00e-07	9606.ENSP00000269305,9606.ENSP00000278616,9606.ENSP00000360266,9606.ENSP00000361021,9606.ENSP00000362680,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000478887,9606.ENSP00000495360	TP53,ATM,JUN,PTEN,SRC,JAK2,IL6,TNF,MYC,CTNNB1
