#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:1901363	Heterocyclic compound binding	19	5977	0.33	0.31	0.0085	9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887	EP300,PIK3CA,STAT3,TP53,ERBB2,EGFR,ATM,RUNX1,JUN,SRC,BRCA2,JAK2,GRB2,BCL2,TNF,ESR1,BRCA1,AKT1,MYC
GO:0097159	Organic cyclic compound binding	19	6050	0.33	0.3	0.0100	9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000300305,9606.ENSP00000360266,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000376345,9606.ENSP00000381185,9606.ENSP00000398698,9606.ENSP00000405330,9606.ENSP00000418960,9606.ENSP00000451828,9606.ENSP00000478887	EP300,PIK3CA,STAT3,TP53,ERBB2,EGFR,ATM,RUNX1,JUN,SRC,BRCA2,JAK2,GRB2,BCL2,TNF,ESR1,BRCA1,AKT1,MYC
GO:0016303	1-phosphatidylinositol-3-kinase activity	2	10	2.13	0.79	0.0112	9606.ENSP00000263967,9606.ENSP00000278616	PIK3CA,ATM
GO:0046983	Protein dimerization activity	8	1094	0.7	0.47	0.0112	9606.ENSP00000264657,9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000300305,9606.ENSP00000381185,9606.ENSP00000428056,9606.ENSP00000451828,9606.ENSP00000478887	STAT3,TP53,ERBB2,RUNX1,BCL2,PIK3R1,AKT1,MYC
GO:0008047	Enzyme activator activity	6	560	0.86	0.54	0.0115	9606.ENSP00000263967,9606.ENSP00000265171,9606.ENSP00000275493,9606.ENSP00000346839,9606.ENSP00000360266,9606.ENSP00000362680	PIK3CA,EGF,EGFR,FN1,JUN,SRC
GO:0010485	H4 histone acetyltransferase activity	2	12	2.05	0.74	0.0145	9606.ENSP00000263253,9606.ENSP00000369497	EP300,BRCA2
GO:0046982	Protein heterodimerization activity	5	368	0.97	0.56	0.0145	9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000300305,9606.ENSP00000381185,9606.ENSP00000428056	TP53,ERBB2,RUNX1,BCL2,PIK3R1
GO:0016740	Transferase activity	11	2268	0.52	0.37	0.0164	9606.ENSP00000227507,9606.ENSP00000263253,9606.ENSP00000263967,9606.ENSP00000269571,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000362680,9606.ENSP00000369497,9606.ENSP00000371067,9606.ENSP00000418960,9606.ENSP00000451828	CCND1,EP300,PIK3CA,ERBB2,EGFR,ATM,SRC,BRCA2,JAK2,BRCA1,AKT1
GO:0030297	Transmembrane receptor protein tyrosine kinase activator activity	2	14	1.99	0.7	0.0177	9606.ENSP00000265171,9606.ENSP00000275493	EGF,EGFR
GO:0005068	Transmembrane receptor protein tyrosine kinase adaptor activity	2	16	1.93	0.67	0.0217	9606.ENSP00000376345,9606.ENSP00000428056	GRB2,PIK3R1
