#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
DOID:0060095	Uterine benign neoplasm	3	14	2.16	1.66	6.11e-05	9606.ENSP00000269305,9606.ENSP00000361021,9606.ENSP00000405330	TP53,PTEN,ESR1
DOID:0080600	COVID-19	3	16	2.11	1.6	8.51e-05	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:8469	Influenza	3	16	2.11	1.6	8.51e-05	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:8577	Ulcerative colitis	3	16	2.11	1.6	8.51e-05	9606.ENSP00000264657,9606.ENSP00000371067,9606.ENSP00000398698	STAT3,JAK2,TNF
DOID:657	Adenoma	4	66	1.61	1.41	9.81e-05	9606.ENSP00000269305,9606.ENSP00000269571,9606.ENSP00000405330,9606.ENSP00000495360	TP53,ERBB2,ESR1,CTNNB1
DOID:2377	Multiple sclerosis	3	19	2.03	1.51	0.00013	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:612	Primary immunodeficiency disease	7	470	1.01	0.94	0.00014	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000300305,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000428056	IL1B,STAT3,RUNX1,JAK2,IL6,TNF,PIK3R1
DOID:331	Central nervous system disease	10	1199	0.75	0.71	0.00015	9606.ENSP00000263341,9606.ENSP00000269305,9606.ENSP00000275493,9606.ENSP00000278616,9606.ENSP00000361021,9606.ENSP00000381185,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000495360	IL1B,TP53,EGFR,ATM,PTEN,BCL2,IL6,TNF,AKT1,CTNNB1
DOID:7148	Rheumatoid arthritis	4	74	1.56	1.33	0.00015	9606.ENSP00000263341,9606.ENSP00000300305,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,RUNX1,IL6,TNF
DOID:1936	Atherosclerosis	3	21	1.99	1.46	0.00017	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:417	Autoimmune disease	6	317	1.11	1.01	0.00018	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000300305,9606.ENSP00000371067,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,STAT3,RUNX1,JAK2,IL6,TNF
DOID:552	Pneumonia	3	24	1.93	1.4	0.00023	9606.ENSP00000263341,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,IL6,TNF
DOID:8778	Crohns disease	3	24	1.93	1.4	0.00023	9606.ENSP00000264657,9606.ENSP00000371067,9606.ENSP00000398698	STAT3,JAK2,TNF
DOID:0060032	Autoimmune disease of musculoskeletal system	5	200	1.23	1.05	0.00031	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000300305,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,STAT3,RUNX1,IL6,TNF
DOID:10688	Hypertrophy of breast	2	2	2.83	1.43	0.00034	9606.ENSP00000269571,9606.ENSP00000405330	ERBB2,ESR1
DOID:676	Juvenile rheumatoid arthritis	3	28	1.86	1.33	0.00034	9606.ENSP00000300305,9606.ENSP00000385675,9606.ENSP00000398698	RUNX1,IL6,TNF
DOID:0050117	Disease by infectious agent	6	368	1.04	0.9	0.00040	9606.ENSP00000263341,9606.ENSP00000264657,9606.ENSP00000265171,9606.ENSP00000269305,9606.ENSP00000385675,9606.ENSP00000398698	IL1B,STAT3,EGF,TP53,IL6,TNF
DOID:1240	Leukemia	4	104	1.42	1.12	0.00048	9606.ENSP00000263341,9606.ENSP00000269305,9606.ENSP00000300305,9606.ENSP00000381185	IL1B,TP53,RUNX1,BCL2
DOID:0060075	Estrogen-receptor positive breast cancer	2	3	2.66	1.34	0.00055	9606.ENSP00000269571,9606.ENSP00000405330	ERBB2,ESR1
DOID:0080365	Endometrial hyperplasia	2	3	2.66	1.34	0.00055	9606.ENSP00000361021,9606.ENSP00000405330	PTEN,ESR1
DOID:1791	Peritoneal carcinoma	2	3	2.66	1.34	0.00055	9606.ENSP00000369497,9606.ENSP00000418960	BRCA2,BRCA1
