Model,Fingerprint,FP_Count,AUC,Accuracy,F1,MCC,Sensitivity,Specificity,BA
MultiFPUnionPipeline,Pub+ECF+MAC+RDK,4,0.776391006,0.75,0.838797814,0.344015569,0.93597561,0.326388889,0.631182249
MultiFPStacking,Pub+RDK,2,0.776221629,0.747881356,0.838095238,0.336081332,0.93902439,0.3125,0.625762195
MultiFPUnionPipeline,Kle+MAC+RDK,3,0.776200457,0.75,0.843085106,0.340340057,0.966463415,0.256944444,0.61170393
MultiFPVoting,Pub+ECF,2,0.776105183,0.741525424,0.834688347,0.314456918,0.93902439,0.291666667,0.615345528
MultiFPUnionPipeline,Pub+Kle+ECF+Ato+RDK,5,0.775798188,0.752118644,0.842530283,0.347517724,0.954268293,0.291666667,0.62296748
MultiFPVoting,Pub+ECF+Ato,3,0.775639397,0.741525424,0.835579515,0.312617684,0.945121951,0.277777778,0.611449864
MultiFPVoting,Pub+Ato+RDK,3,0.775512364,0.747881356,0.840268456,0.332999065,0.954268293,0.277777778,0.616023035
MultiFPVoting,ECF+MAC,2,0.77536416,0.754237288,0.841530055,0.357118809,0.93902439,0.333333333,0.636178862
StackingEnsemble,,1,0.775268886,0.73940678,0.830811554,0.314687312,0.920731707,0.326388889,0.623560298
MultiFPStacking,ECF+Ato,2,0.775046579,0.747881356,0.837653479,0.336983198,0.93597561,0.319444444,0.627710027
MultiFPUnionPipeline,MAC+Ato,2,0.774993648,0.726694915,0.829590489,0.253950186,0.957317073,0.201388889,0.579352981
MultiFPVoting,Kle+Ato+RDK,3,0.774654895,0.756355932,0.845222073,0.361638623,0.957317073,0.298611111,0.627964092
MultiFPUnionPipeline,,6,0.774559621,0.762711864,0.847826087,0.382702265,0.951219512,0.333333333,0.642276423
MultiFPUnionPipeline,Pub+Kle+ECF+MAC+RDK,5,0.774549035,0.752118644,0.841677943,0.348255356,0.948170732,0.305555556,0.626863144
MultiFPUnionPipeline,ECF+MAC+RDK,3,0.774443174,0.752118644,0.845033113,0.348936974,0.972560976,0.25,0.611280488
VotingEnsemble,,1,0.774316142,0.730932203,0.829071332,0.276913228,0.93902439,0.256944444,0.597984417
MultiFPUnionPipeline,Pub+Kle+RDK,3,0.774263211,0.754237288,0.841530055,0.357118809,0.93902439,0.333333333,0.636178862
MultiFPUnionPipeline,Pub+ECF+MAC+Ato+RDK,5,0.774220867,0.747881356,0.83449235,0.345221049,0.914634146,0.368055556,0.641344851
RandomForest,,1,0.774157351,0.75,0.835654596,0.351988682,0.914634146,0.375,0.644817073
MultiFPUnionPipeline,Pub+Kle+MAC+Ato+RDK,5,0.773860942,0.766949153,0.849726776,0.396428529,0.948170732,0.354166667,0.651168699
MultiFPUnionPipeline,ECF+RDK,2,0.773596291,0.752118644,0.840381992,0.350167554,0.93902439,0.326388889,0.63270664
MultiFPUnionPipeline,Pub+MAC+Ato+RDK,4,0.773469258,0.764830508,0.848153215,0.390059896,0.945121951,0.354166667,0.649644309
MultiFPUnionPipeline,Pub+MAC+RDK,3,0.773373984,0.758474576,0.842105263,0.374183046,0.926829268,0.375,0.650914634
XGBoost,,1,0.773098747,0.741525424,0.827195467,0.337837687,0.890243902,0.402777778,0.64651084
MultiFPUnionPipeline,Kle+Ato,2,0.772749407,0.745762712,0.838274933,0.326633218,0.948170732,0.284722222,0.616446477
MultiFPVoting,Kle+RDK,2,0.772569444,0.756355932,0.843537415,0.362786785,0.945121951,0.326388889,0.63575542
SVM,,1,0.772516514,0.758474576,0.845528455,0.368944313,0.951219512,0.319444444,0.635331978
MultiFPVoting,Kle+ECF+Ato,3,0.772146003,0.743644068,0.836707152,0.320000484,0.945121951,0.284722222,0.614922087
MultiFPStacking,Ato+RDK,2,0.771786077,0.758474576,0.845528455,0.368944313,0.951219512,0.319444444,0.635331978
KNN,,1,0.771436738,0.752118644,0.834042553,0.367427197,0.896341463,0.423611111,0.659976287
MultiFPUnionPipeline,Pub+Kle+ECF+RDK,4,0.771235603,0.747881356,0.838971583,0.334539023,0.945121951,0.298611111,0.621866531
VotingEnsemble,,1,0.770960366,0.75,0.837912088,0.345968264,0.929878049,0.340277778,0.635077913
RandomForest,,1,0.770928608,0.737288136,0.832432432,0.299679859,0.93902439,0.277777778,0.608401084
MultiFPUnionPipeline,Pub+ECF+RDK,3,0.770918022,0.754237288,0.842391304,0.355821987,0.945121951,0.319444444,0.632283198
MultiFPUnionPipeline,ECF+MAC+Ato,3,0.770483994,0.737288136,0.834224599,0.295911568,0.951219512,0.25,0.600609756
MultiFPUnionPipeline,ECF+MAC+Ato+RDK,4,0.770314617,0.754237288,0.841961853,0.356423312,0.942073171,0.326388889,0.63423103
MultiFPUnionPipeline,MAC+RDK,2,0.770251101,0.764830508,0.848567531,0.389720622,0.948170732,0.347222222,0.647696477
MultiFPVoting,MAC+Ato,2,0.770028794,0.73940678,0.831737346,0.311915468,0.926829268,0.3125,0.619664634
MultiFPUnionPipeline,Kle+ECF+MAC+Ato+RDK,5,0.769615938,0.752118644,0.84295302,0.347339901,0.957317073,0.284722222,0.621019648
MultiFPVoting,ECF+Ato+RDK,3,0.768843157,0.73940678,0.835341365,0.303583914,0.951219512,0.256944444,0.604081978
MultiFPVoting,Kle+Ato,2,0.768483232,0.745762712,0.838274933,0.326633218,0.948170732,0.284722222,0.616446477
StackingEnsemble,,1,0.768398543,0.756355932,0.842249657,0.364759601,0.93597561,0.347222222,0.641598916
MultiFPUnionPipeline,Pub+ECF+Ato+RDK,4,0.768335027,0.756355932,0.845222073,0.361638623,0.957317073,0.298611111,0.627964092
MultiFPVoting,ECF+RDK,2,0.768229167,0.756355932,0.843537415,0.362786785,0.945121951,0.326388889,0.63575542
RandomForest,,1,0.768091548,0.722457627,0.826490066,0.23926348,0.951219512,0.201388889,0.576304201
MultiFPUnionPipeline,Kle+RDK,2,0.767562246,0.743644068,0.836707152,0.320000484,0.945121951,0.284722222,0.614922087
MultiFPUnionPipeline,Pub+Kle+Ato+RDK,4,0.767456386,0.758474576,0.845528455,0.368944313,0.951219512,0.319444444,0.635331978
MultiFPUnionPipeline,Pub+RDK,2,0.766270749,0.743644068,0.834473324,0.324939539,0.929878049,0.319444444,0.624661247
MultiFPUnionPipeline,Kle+Ato+RDK,3,0.766270749,0.762711864,0.847826087,0.382702265,0.951219512,0.333333333,0.642276423
XGBoost,,1,0.766016684,0.75,0.841397849,0.340297026,0.954268293,0.284722222,0.619495257
MultiFPVoting,Pub+Ato,2,0.765752033,0.752118644,0.840381992,0.350167554,0.93902439,0.326388889,0.63270664
MultiFPUnionPipeline,ECF+Ato+RDK,3,0.764524051,0.737288136,0.837270341,0.294378169,0.972560976,0.201388889,0.586974932
MultiFPUnionPipeline,Kle+ECF+RDK,3,0.763772442,0.745762712,0.838709677,0.326067739,0.951219512,0.277777778,0.614498645
SVM,,1,0.763158452,0.743644068,0.84057971,0.318448418,0.972560976,0.222222222,0.597391599
SVM,,1,0.763042005,0.694915254,0.82,0,1,0,0.5
MultiFPVoting,Kle+ECF,2,0.762978489,0.73940678,0.834899329,0.304317394,0.948170732,0.263888889,0.60602981
MultiFPUnionPipeline,Ato+RDK,2,0.762110434,0.752118644,0.840381992,0.350167554,0.93902439,0.326388889,0.63270664
MultiFPUnionPipeline,Kle+ECF+Ato+RDK,4,0.762015159,0.75,0.841823056,0.34007622,0.957317073,0.277777778,0.617547425
StackingEnsemble,,1,0.761178862,0.741525424,0.832417582,0.32037312,0.923780488,0.326388889,0.625084688
RandomForest,,1,0.761125932,0.754237288,0.840659341,0.358765836,0.932926829,0.347222222,0.640074526
XGBoost,,1,0.761073001,0.728813559,0.822714681,0.287461611,0.905487805,0.326388889,0.615938347
XGBoost,,1,0.759051067,0.75,0.841823056,0.34007622,0.957317073,0.277777778,0.617547425
MultiFPVoting,Ato+RDK,2,0.75775957,0.745762712,0.837398374,0.328078767,0.942073171,0.298611111,0.620342141
MultiFPVoting,ECF+Ato,2,0.757621951,0.733050847,0.82972973,0.28586649,0.93597561,0.270833333,0.603404472
VotingEnsemble,,1,0.757516091,0.730932203,0.82626539,0.285867326,0.920731707,0.298611111,0.609671409
MultiFPUnionPipeline,ECF+Ato,2,0.75684917,0.726694915,0.828229028,0.25721813,0.948170732,0.222222222,0.585196477
KNN,RDKit,1,0.756775068,0.73940678,0.835341365,0.303583914,0.951219512,0.256944444,0.604081978
SVM,Klekota-Roth,1,0.75639397,0.75,0.842245989,0.339999402,0.960365854,0.270833333,0.615599593
KNN,PubChem,1,0.756266938,0.743644068,0.833103448,0.328736989,0.920731707,0.340277778,0.630504743
SVM,ECFP,1,0.749354251,0.720338983,0.829015544,0.22317627,0.975609756,0.138888889,0.557249322
SVM,AtomPairs,1,0.747755759,0.728813559,0.832460733,0.260322104,0.969512195,0.180555556,0.575033875
KNN,ECFP,1,0.744029472,0.716101695,0.824146982,0.209819688,0.957317073,0.166666667,0.56199187
XGBoost,ECFP,1,0.738524729,0.733050847,0.825484765,0.299850387,0.908536585,0.333333333,0.620934959
KNN,Klekota-Roth,1,0.728849085,0.730932203,0.827679783,0.281144998,0.929878049,0.277777778,0.603827913
KNN,AtomPairs,1,0.723820715,0.728813559,0.825136612,0.27849937,0.920731707,0.291666667,0.606199187
GaussianNB,PubChem,1,0.665226965,0.338983051,0.123595506,0.049521362,0.067073171,0.958333333,0.512703252
GaussianNB,MACCS,1,0.6475271,0.544491525,0.574257426,0.209097514,0.442073171,0.777777778,0.609925474
GaussianNB,AtomPairs,1,0.617166328,0.319915254,0.085470085,-0.021009355,0.045731707,0.944444444,0.495088076
GaussianNB,Klekota-Roth,1,0.567327236,0.455508475,0.41723356,0.145295613,0.280487805,0.854166667,0.567327236
GaussianNB,RDKit,1,0.567327236,0.61440678,0.714733542,0.121881382,0.695121951,0.430555556,0.562838753
GaussianNB,ECFP,1,0.558614922,0.436440678,0.411504425,0.071412856,0.283536585,0.784722222,0.534129404
