Model_Key,Model_Name,Fingerprint,FP_Count,TP,TN,FP,FN,Total_Samples
MultiFPUnionPipeline_3指纹_Pub+Kle+Ato,MultiFPUnionPipeline,Pub+Kle+Ato,3,311,45,99,17,472
MultiFPVoting_3指纹_Pub+Kle+Ato,MultiFPVoting,Pub+Kle+Ato,3,310,45,99,18,472
MultiFPStacking_3指纹_Pub+Kle+Ato,MultiFPStacking,Pub+Kle+Ato,3,308,48,96,20,472
MultiFPUnionPipeline_3指纹_Pub+Kle+RDK,MultiFPUnionPipeline,Pub+Kle+RDK,3,308,48,96,20,472
MultiFPVoting_3指纹_Pub+Kle+RDK,MultiFPVoting,Pub+Kle+RDK,3,310,42,102,18,472
MultiFPStacking_3指纹_Pub+Kle+RDK,MultiFPStacking,Pub+Kle+RDK,3,310,47,97,18,472
MultiFPUnionPipeline_3指纹_Pub+ECF+MAC,MultiFPUnionPipeline,Pub+ECF+MAC,3,306,45,99,22,472
MultiFPVoting_3指纹_Pub+ECF+MAC,MultiFPVoting,Pub+ECF+MAC,3,308,47,97,20,472
MultiFPStacking_3指纹_Pub+ECF+MAC,MultiFPStacking,Pub+ECF+MAC,3,303,52,92,25,472
MultiFPUnionPipeline_3指纹_Pub+ECF+Ato,MultiFPUnionPipeline,Pub+ECF+Ato,3,306,53,91,22,472
MultiFPVoting_3指纹_Pub+ECF+Ato,MultiFPVoting,Pub+ECF+Ato,3,310,40,104,18,472
MultiFPStacking_3指纹_Pub+ECF+Ato,MultiFPStacking,Pub+ECF+Ato,3,305,48,96,23,472
MultiFPUnionPipeline_3指纹_Pub+ECF+RDK,MultiFPUnionPipeline,Pub+ECF+RDK,3,310,46,98,18,472
MultiFPVoting_3指纹_Pub+ECF+RDK,MultiFPVoting,Pub+ECF+RDK,3,312,41,103,16,472
MultiFPStacking_3指纹_Pub+ECF+RDK,MultiFPStacking,Pub+ECF+RDK,3,307,46,98,21,472
MultiFPUnionPipeline_3指纹_Pub+MAC+Ato,MultiFPUnionPipeline,Pub+MAC+Ato,3,308,54,90,20,472
MultiFPVoting_3指纹_Pub+MAC+Ato,MultiFPVoting,Pub+MAC+Ato,3,307,49,95,21,472
MultiFPStacking_3指纹_Pub+MAC+Ato,MultiFPStacking,Pub+MAC+Ato,3,304,51,93,24,472
MultiFPUnionPipeline_3指纹_Pub+MAC+RDK,MultiFPUnionPipeline,Pub+MAC+RDK,3,304,54,90,24,472
MultiFPVoting_3指纹_Pub+MAC+RDK,MultiFPVoting,Pub+MAC+RDK,3,307,49,95,21,472
MultiFPStacking_3指纹_Pub+MAC+RDK,MultiFPStacking,Pub+MAC+RDK,3,307,47,97,21,472
MultiFPUnionPipeline_3指纹_Pub+Ato+RDK,MultiFPUnionPipeline,Pub+Ato+RDK,3,320,34,110,8,472
MultiFPVoting_3指纹_Pub+Ato+RDK,MultiFPVoting,Pub+Ato+RDK,3,313,40,104,15,472
MultiFPStacking_3指纹_Pub+Ato+RDK,MultiFPStacking,Pub+Ato+RDK,3,311,47,97,17,472
MultiFPUnionPipeline_3指纹_Kle+ECF+MAC,MultiFPUnionPipeline,Kle+ECF+MAC,3,316,34,110,12,472
MultiFPVoting_3指纹_Kle+ECF+MAC,MultiFPVoting,Kle+ECF+MAC,3,306,45,99,22,472
MultiFPStacking_3指纹_Kle+ECF+MAC,MultiFPStacking,Kle+ECF+MAC,3,308,55,89,20,472
MultiFPUnionPipeline_3指纹_Kle+ECF+Ato,MultiFPUnionPipeline,Kle+ECF+Ato,3,315,29,115,13,472
MultiFPVoting_3指纹_Kle+ECF+Ato,MultiFPVoting,Kle+ECF+Ato,3,310,41,103,18,472
MultiFPStacking_3指纹_Kle+ECF+Ato,MultiFPStacking,Kle+ECF+Ato,3,304,51,93,24,472
MultiFPUnionPipeline_3指纹_Kle+ECF+RDK,MultiFPUnionPipeline,Kle+ECF+RDK,3,312,40,104,16,472
MultiFPVoting_3指纹_Kle+ECF+RDK,MultiFPVoting,Kle+ECF+RDK,3,315,40,104,13,472
MultiFPStacking_3指纹_Kle+ECF+RDK,MultiFPStacking,Kle+ECF+RDK,3,308,48,96,20,472
MultiFPUnionPipeline_3指纹_Kle+MAC+Ato,MultiFPUnionPipeline,Kle+MAC+Ato,3,314,47,97,14,472
MultiFPVoting_3指纹_Kle+MAC+Ato,MultiFPVoting,Kle+MAC+Ato,3,308,46,98,20,472
MultiFPStacking_3指纹_Kle+MAC+Ato,MultiFPStacking,Kle+MAC+Ato,3,305,55,89,23,472
